Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/pages/client/ClientKYCOnboarding.tsx,75,useMutation,documents.generateUploadUrl,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientKYCOnboarding.tsx,76,useMutation,clients.submitKyc,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientMessagesPage.tsx,14,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientMessagesPage.tsx,16,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientMessagesPage.tsx,17,useQuery,users.listStaffDirectory,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientMessagesPage.tsx,23,useQuery,messages.listMessages,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientMessagesPage.tsx,29,useMutation,messages.sendMessage,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientMessagesPage.tsx,30,useMutation,messages.markMessagesRead,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,112,useQuery,documents.getFileUrl,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,153,useQuery,documents.getSignatureCertificate,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,193,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,196,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,199,useQuery,documents.listDocuments,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,200,useMutation,documents.signDocument,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,201,useMutation,documents.markDocumentViewed,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,202,useMutation,documents.generateUploadUrl,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,203,useMutation,envelopes.issueSigningOtp,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,204,useMutation,envelopes.verifySigningOtp,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,205,useMutation,envelopes.declineEnvelope,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,206,useQuery,envelopes.listMyPendingEnvelopeActions,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientSignaturesPage.tsx,218,useQuery,documents.getFileUrl,yes,heuristic match,no,migrate,inventoried,
src/pages/public/AboutPage.tsx,30,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/public/BlogPage.tsx,33,useQuery,cms.listBlogPosts,yes,heuristic match,no,migrate,inventoried,
src/pages/public/BlogPostPage.tsx,20,useQuery,cms.getBlogPostBySlug,yes,heuristic match,yes,migrate,inventoried,
src/pages/public/BlogPostPage.tsx,21,useQuery,cms.listBlogPosts,yes,heuristic match,no,migrate,inventoried,
src/pages/public/CareersPage.tsx,14,useQuery,cms.listCareers,yes,heuristic match,no,migrate,inventoried,
src/pages/public/CareersPage.tsx,15,useMutation,cms.createJobApplication,yes,heuristic match,no,migrate,inventoried,
src/pages/public/ConsultationPage.tsx,89,useMutation,appointments.createAppointment,yes,heuristic match,no,migrate,inventoried,
src/pages/public/ContactPage.tsx,38,useMutation,leads.createLead,yes,heuristic match,no,migrate,inventoried,
src/pages/public/ContactPage.tsx,39,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/public/HomePage.tsx,105,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/public/HomePage.tsx,106,useQuery,cms.listPracticeAreas,yes,heuristic match,no,migrate,inventoried,
src/pages/public/HomePage.tsx,107,useQuery,cms.listTestimonials,yes,heuristic match,no,migrate,inventoried,
src/pages/public/HomePage.tsx,108,useQuery,cms.listPublicTeam,yes,heuristic match,no,migrate,inventoried,
src/pages/public/HomePage.tsx,109,useQuery,cms.listBlogPosts,yes,heuristic match,no,migrate,inventoried,
src/pages/public/IntakeFormPage.tsx,15,useQuery,leads.getIntakeByToken,yes,heuristic match,yes,migrate,inventoried,
src/pages/public/IntakeFormPage.tsx,16,useMutation,leads.submitIntake,yes,heuristic match,yes,migrate,inventoried,
src/pages/public/LawyerDirectoryPage.tsx,43,useQuery,cms.listPublicTeam,yes,heuristic match,no,migrate,inventoried,
src/pages/public/LegalPage.tsx,52,useQuery,cms.getLegalPage,yes,heuristic match,no,migrate,inventoried,
src/pages/public/NewsPage.tsx,10,useQuery,cms.listNewsAndAwards,yes,heuristic match,no,migrate,inventoried,
src/pages/public/PracticeAreasPage.tsx,68,useQuery,cms.listPracticeAreas,yes,heuristic match,no,migrate,inventoried,
src/pages/public/PublicLawyerProfilePage.tsx,14,useQuery,cms.listPublicTeam,yes,heuristic match,no,migrate,inventoried,
src/pages/public/PublicLayout.tsx,23,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/public/PublicLayout.tsx,24,useQuery,cms.listNavigationLinks,yes,heuristic match,no,migrate,inventoried,
